series_id,series_name,brand_name,sub_brand_name,min_price,max_price,count,score,rank
6206,蓝山,魏牌,长城汽车,29.98,32.68,43685,0,166
348,君威,别克,上汽通用别克,10.69,12.39,43472,0,167
25094,日产N7,日产,东风日产,11.49,14.49,43457,0,168
861,凯迪拉克XT5,凯迪拉克,上汽通用凯迪拉克,23.49,32.59,43278,0,169
5015,ZEEKR 001,极氪,极氪,25.9,32.98,43272,0,170
8985,风云A9L,奇瑞风云,奇瑞汽车,13.99,22.69,42951,0,171
1151,奇骏,日产,东风日产,11.78,26.29,42729,0,172
9261,纳米01,东风纳米,东风汽车,5.88,9.78,42714,0,173
3736,凯迪拉克CT5,凯迪拉克,上汽通用凯迪拉克,19.99,24.59,42542,0,174
4426,AION V,埃安,广汽埃安新能源,10.98,18.18,41767,0,175
24535,领克Z20,领克,领克,10.99,14.49,41725,0,176
8859,银河L6,吉利银河,吉利银河,7.78,10.28,41496,0,177
25571,缤果S,五菱汽车,上汽通用五菱,6.48,7.78,41480,0,178
4342,领克06,领克,领克,9.96,11.18,41280,0,179
405,途昂,大众,上汽大众,24.9,31.99,40893,0,180
8830,银河L7,吉利银河,吉利银河,10.57,14.97,39978,0,181
10270,坦克400 Hi4-T,坦克,长城汽车,28.58,29.98,39974,0,182
25401,极狐T1,ARCFOX极狐,北汽新能源,6.28,8.78,39308,0,183
25234,乐道L90,乐道,蔚来,26.58,30.68,39264,0,184
5828,MG4,名爵,上汽集团,6.58,9.98,37776,0,185
25399,海狮06DM,比亚迪,比亚迪,13.98,15.68,36577,0,186
9179,极狐 阿尔法S5,ARCFOX极狐,北汽新能源,11.18,16.28,35794,0,187
397,凌渡,大众,上汽大众,11.39,15.59,35695,0,188
4760,岚图FREE,岚图,岚图汽车,21.99,27.99,35678,0,189
5343,问界M5,AITO,赛力斯汽车,22.98,24.98,35637,0,190
410,高尔夫,大众,一汽-大众,11.79,14.69,35533,0,191
20138,海狮05DM,比亚迪,比亚迪,8.98,12.58,35358,0,192
9184,传祺E8 PHEV,广汽传祺,广汽传祺,20.28,22.48,34730,0,193
585,锐界,福特,长安福特,20.18,28.48,34726,0,194
100,奥迪Q3,奥迪,一汽奥迪,17.17,20.28,34467,0,195
5257,QQ冰淇淋,奇瑞,奇瑞新能源,3.29,3.89,34298,0,196
3928,奔驰GLB,奔驰,北京奔驰,19.19,24.79,33886,0,197
2832,传祺M6,广汽传祺,广汽传祺,10.08,11.38,33337,0,198
534,雷凌,丰田,广汽丰田,7.08,10.88,33182,0,199
10120,红旗HS3 PHEV,红旗,一汽红旗,12.98,13.48,33178,0,200
10230,阿维塔 06,阿维塔,阿维塔科技,18.99,25.99,33041,0,201
164,北京越野BJ40,北京越野,北京汽车,13.78,15.99,32872,0,202
24927,五菱之光EV,五菱汽车,上汽通用五菱,4.58,5.78,32245,0,203
8795,哈弗枭龙MAX,哈弗,长城汽车,11.68,15.48,32202,0,204
25116,firefly萤火虫, firefly萤火虫,蔚来,7.98,12.58,31958,0,205
8943,捷途旅行者C-DM,捷途山海,奇瑞汽车,15.29,21.99,31752,0,206
4635,欧拉好猫,欧拉,长城汽车,8.38,10.38,30809,0,207
20021,海豹07DM,比亚迪,比亚迪,11.18,18.68,30756,0,208
1016,马自达CX-5,马自达,长安马自达,11.58,14.38,30543,0,209
3172,捷达VA3,捷达,一汽-大众捷达,6.48,9.48,30525,0,210
1292,五菱之光,五菱汽车,上汽通用五菱,3.51,3.79,30428,0,211
1092,瑞虎3x,奇瑞,奇瑞汽车,4.99,6.19,30096,0,212
5244,捷途大圣,捷途,奇瑞汽车,6.99,10.49,29900,0,213
9828,eπ008,东风奕派,东风乘用车,15.99,19.06,29886,0,214
10214,深蓝L07,深蓝汽车,深蓝汽车,13.19,15.59,29625,0,215
9924,五菱缤果PLUS,五菱汽车,上汽通用五菱,7.58,9.88,29331,0,216
5929,揽巡,大众,一汽-大众,18.69,24.39,29246,0,217
9723,北京越野BJ40增程,北京越野,北京汽车,17.98,20.48,28508,0,218
25521,银河M9,吉利银河,吉利银河,17.38,23.88,28465,0,219
6068,海狮07EV,比亚迪,比亚迪,16.98,23.18,28086,0,220
617,传祺GS8,广汽传祺,广汽传祺,14.48,23.58,27524,0,221
8959,坦克300 Hi4-T,坦克,长城汽车,24.98,24.98,27071,0,222
5340,型格,本田,广汽本田,7.79,11.89,27034,0,223
1291,五菱荣光,五菱汽车,上汽通用五菱,4.09,4.755,27024,0,224
4370,领克07 EM-P,领克,领克,13.98,15.98,26823,0,225
4838,宝马i3,宝马,华晨宝马,19.83,25.69,25899,0,226
24726,腾势N9 DM,腾势,腾势汽车,38.98,44.98,25814,0,227
1616,蔚来ES8,蔚来,蔚来,40.68,44.68,25472,0,228
5911,睿蓝X3 PRO,睿蓝汽车,睿蓝汽车,4.49,5.39,25369,0,229
9641,捷途山海T1,捷途山海,奇瑞汽车,12.49,16.99,25194,0,230
10022,悦也Plus,宝骏,上汽通用五菱,7.28,11.68,24955,0,231
1279,沃尔沃S60,沃尔沃,沃尔沃亚太,18.99,25.89,24848,0,232
1101,小蚂蚁,奇瑞,奇瑞新能源,4.99,6.89,24723,0,233
24597,夏,比亚迪,比亚迪,19.68,29.48,24708,0,234
